lng,lat,elevation_m,source,resolution
80.025,12.825,5.10,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.125,12.825,4.83,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.225,12.825,4.63,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.325,12.825,-31.91,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.425,12.825,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.525,12.825,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.025,12.925,4.47,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.125,12.925,4.02,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.225,12.925,3.74,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.325,12.925,-31.23,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.425,12.925,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.525,12.925,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.025,13.025,4.35,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.125,13.025,3.88,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.225,13.025,3.60,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.325,13.025,-30.37,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.425,13.025,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.525,13.025,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.025,13.125,5.01,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.125,13.125,4.70,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.225,13.125,4.48,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.325,13.125,-29.84,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.425,13.125,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.525,13.125,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.025,13.225,5.27,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.125,13.225,5.20,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.225,13.225,5.08,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.325,13.225,-29.96,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.425,13.225,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.525,13.225,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.025,13.325,5.81,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.125,13.325,5.95,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.225,13.325,5.90,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.325,13.325,-30.65,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.425,13.325,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.525,13.325,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.025,13.425,6.29,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.125,13.425,6.54,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.225,13.425,6.54,GMTED2010 7.5 arc-sec (250m) coarse + SRTM,7.5 arc-sec (~250m)
80.325,13.425,-31.48,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.425,13.425,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
80.525,13.425,-32.00,"ETOPO1 1arc-min bathymetry (synthetic sampled, NOAA NGDC lineage)",1 arc-min (~1.8km)
