Ward_No,Zone_No,Zone_Name,POPULATION,HOUSEHOLDS,MALE,FEMALE,LITERACY_RATE,WORKERS,AREA_SQKM,DENSITY
1,I,Thiruvotriyur,45231,11234,23211,22020,82.3,4521,1.82,24853
2,I,Thiruvotriyur,38912,9678,19876,19036,81.7,3891,1.65,23583
3,I,Thiruvotriyur,42345,10512,21789,20556,83.1,4234,1.71,24763
7,I,Thiruvottiyur,51234,12789,26345,24889,84.2,5123,1.92,26684
26,III,Madhavaram,48765,12123,25123,23642,83.5,4876,2.12,23002
37,IV,Tondiarpet,62345,15432,32123,30222,85.1,6234,1.45,42996
60,V,Royapuram,58912,14678,30234,28678,84.8,5891,1.32,44630
70,VI,Thiru-Vi-Ka Nagar,52341,12987,26876,25465,86.2,5234,1.28,40891
86,VII,Ambattur,47892,11876,24567,23325,85.5,4789,2.34,20466
101,VIII,Anna Nagar,61234,15234,31456,29778,88.1,6123,1.89,32398
119,IX,Teynampet,45678,11234,23456,22222,89.2,4567,1.15,39720
132,X,Kodambakkam,53456,13234,27456,26000,87.3,5345,1.67,32004
147,XI,Valasaravakkam,48923,12123,25123,23800,86.7,4892,2.01,24340
174,XIII,Adyar,42345,10456,21789,20556,90.1,4234,1.82,23261
182,XIII,Adyar,39876,9876,20456,19420,89.8,3987,1.45,27500
119,IX,Teynampet,45678,11234,23456,22222,89.2,4567,1.15,39720
200,XV,Shozhinganallur,34567,8567,17890,16677,88.5,3456,3.12,11079
